year,make,Model,baseModel,cityE,combE,highwayE,drive,id,range,rangeCity,rangeHwy,UCity,UHighway,evMotor,trany,kWhpmCity,kWhpmComb,kWhpmHighway,co2pm
2023,Audi,Q4 e-tron quattro,Q4 e-tron,34.62,36.4,38.58,All-Wheel Drive,45988,236,0,0,139.1,124.8,TBD,Automatic (A1),0.3462,0.364,0.3858,117.936
2024,Audi,Q4 50 e-tron quattro,Q4 e-tron,34.62,36.4,38.58,All-Wheel Drive,46911,236,247,222,139.1,124.8,80 kW Asynchron 3-Phase,Automatic (A1),0.3462,0.364,0.3858,117.936
2025,Lucid,Gravity GT w/21F22R wheels (3R),Gravity,35.2,36.45,37.98,All-Wheel Drive,49113,386,399,370,133.9,124.1,170 and 448 kW ACPM,Automatic (A1),0.352,0.3645,0.3798,118.098
2025,Lucid,Gravity GT w/22F23R wheels (3R),Gravity,35.2,36.45,37.98,All-Wheel Drive,49115,386,399,370,133.9,124.1,170 and 448 kW ACPM,Automatic (A1),0.352,0.3645,0.3798,118.098
2026,Lucid,Gravity GT w/21F22R wheels (3R),Gravity,35.2,36.45,37.98,All-Wheel Drive,49673,386,399,370,133.9,124.1,399 kW ACPM,Automatic (A1),0.352,0.3645,0.3798,118.098
2026,Lucid,Gravity GT w/22F23R wheels (3R),Gravity,35.2,36.45,37.98,All-Wheel Drive,49674,386,399,370,133.9,124.1,399 kW ACPM,Automatic (A1),0.352,0.3645,0.3798,118.098
2025,Porsche,Taycan Perf Battery Plus,Taycan,35.8,36.6,37.59,Rear-Wheel Drive,48414,318,325,309,134.5,128.1,300 and 320 kW ACPM,Automatic (A2),0.358,0.366,0.3759,118.584
2024,Fisker,Ocean Sport 20in,Ocean,32.45,36.61,41.69,Front-Wheel Drive,48470,231,257,200,148.4,115.5,207 kW AC PMSM,Automatic (A1),0.3245,0.3661,0.4169,118.6164
2024,Chevrolet,Blazer EV RWD,Blazer,33.91,36.63,39.96,Rear-Wheel Drive,47813,324,348,295,142,120.5,255 kW ACPM,Automatic (A1),0.3391,0.3663,0.3996,118.6812
2023,Nissan,ARIYA ENG Plus/EVO Plus e-4ORCE 87kWh,ARIYA,34.67,36.64,39.05,All-Wheel Drive,46989,272,0,0,138.9,123.3,160 and 160 AC 3-phase,Automatic (A1),0.3467,0.3664,0.3905,118.7136
